Requirement,Actor,Goal,Rationale,FR_NFR,Subtype
The application must not rely on the availability of a specific third-party service to perform its core functions.,System,Ensure core functionality is self-contained,To allow the application to be deployed and used in isolated or air-gapped environments.,NFR,Portability
"The system should be able to be backed up and restored using standard, platform-agnostic database tools (e.g., pg_dump).",Database Administrator,Back up and restore the database with standard tools,To ensure that database maintenance can be performed using familiar,NFR,Portability
The application must have a 'headless' mode where it can run without a graphical user interface for automated testing.,QA Engineer,Run the application for automated testing,To facilitate integration into a CI/CD pipeline for end-to-end testing.,NFR,Portability
The system's authentication mechanism should be able to integrate with standard enterprise identity providers like LDAP or SAML 2.,.,Enterprise IT Admin,Integrate with an enterprise identity provider,NFR,Portability
"The application must be able to send emails via a standard SMTP server, configurable by the system administrator.",System Administrator,Configure email sending,To allow the application to integrate with the company's existing email infrastructure.,NFR,Portability
"The system must be able to be installed via standard package managers for its target operating systems (e.g., APT for Debian/Ubuntu, MSI for Windows).",System Administrator,Install the application using standard methods,To simplify the installation and upgrade process in a managed IT environment.,NFR,Portability
The application must not have any dependencies that are only available for a single operating system.,Developer,Maintain cross-platform compatibility,To ensure that the entire technology stack can run on all supported platforms.,NFR,Portability
"The system's mobile application must be written in a cross-platform framework (e.g., React Native, Flutter) to allow for a single codebase for both iOS and Android.",Developer,Maintain a single mobile codebase,To improve development efficiency and ensure feature parity between the iOS and Android apps.,NFR,Portability
The system must be able to run on commodity hardware and not require specialized or proprietary equipment.,Operations Engineer,Run the application on standard hardware,To provide flexibility in hardware procurement and reduce operational costs.,NFR,Portability
"The application must be able to run in an environment with no public internet access, provided all its dependencies are hosted internally.",System Administrator,Run the application in an offline environment,To support deployment in high-security or isolated networks.,NFR,Portability
"The system's logging output should be able to be sent to a standard logging aggregator (e.g., Fluentd, Logstash) via stdout.",Operations Engineer,Aggregate logs from the application,To allow for centralized logging and analysis in a standard observability stack.,NFR,Portability
"The application must have a clear separation between the front-end and back-end, communicating only through a well-defined API.",Architect,Maintain a decoupled front-end and back-end,To allow the front-end and back-end to be developed,NFR,Portability
"The system must be able to be configured to use different cloud storage providers (e.g., Amazon S3, Azure Blob Storage) for file storage.",System Administrator,Configure the file storage provider,To avoid being locked into a single cloud vendor for object storage.,NFR,Portability
"The application must have its infrastructure defined as code (e.g., using Terraform) in a way that is portable across different cloud providers.",DevOps Engineer,Define infrastructure in a portable way,To facilitate multi-cloud deployment and migration between cloud environments.,NFR,Portability
"The system must be able to be translated into new languages without requiring any code changes, only the addition of new resource files.",Localization Team,Translate the application easily,To make the process of adding support for new languages efficient and low-risk.,NFR,Portability
The system's client-side code must not use any deprecated browser APIs.,Developer,Ensure future browser compatibility,To prevent the application from breaking as browsers remove old,NFR,Portability
The application must be able to be deployed behind a reverse proxy without requiring any code changes.,Operations Engineer,Deploy behind a reverse proxy,To support standard enterprise deployment patterns for security and load balancing.,NFR,Portability
"The system must be able to be run with different time zones configured on the server, and all times must be handled correctly (e.g., by storing them in UTC).",System Administrator,Run the server in any time zone,To provide flexibility in server hosting and ensure correct handling of temporal data.,NFR,Portability
The application's CSS must not use any vendor-specific prefixes that are not handled by an autoprefixer during the build process.,Developer,Write standard,portable CSS,NFR,Portability
"The system must be able to be run in an environment where the case-sensitivity of the file system is different (e.g., Windows vs. Linux).",Developer,Run on different file systems,To prevent bugs related to file path case-sensitivity when moving between operating systems.,NFR,Portability
The application must not rely on any specific screen DPI (dots per inch) for its UI to render correctly.,User,Have a clear UI on any display,To ensure that the user interface scales correctly on both standard and high-DPI (Retina) displays.,NFR,Portability
The system's data migration scripts must be written in standard SQL that is compatible with all supported database systems.,Database Administrator,Run data migrations on any supported DB,To ensure that the database can be migrated between different vendors if needed.,NFR,Portability
"The application must be able to handle line endings from different operating systems (CRLF from Windows, LF from Linux/macOS).",Developer,Handle different line endings,To prevent issues when files are edited on different operating systems.,NFR,Portability
The system's user documentation must be provided in a portable format like HTML or PDF.,User,Access documentation on any device,To ensure that help files and manuals are accessible to all users.,NFR,Portability
The application must not have any hardcoded paths to system binaries or utilities.,Developer,Avoid hardcoded system paths,To ensure the application can run in environments where tools may be installed in non-standard locations.,NFR,Portability
The system must be able to be developed and run on Apple Silicon (ARM64) laptops as well as traditional Intel (x86-64) machines.,Developer,Develop on modern hardware,To support developers using the latest generation of computers.,NFR,Portability
"The application must be able to be configured to send analytics data to different analytics providers (e.g., Google Analytics, Plausible).",Marketing Team,Switch analytics providers,To provide flexibility in how user behavior data is collected and analyzed.,NFR,Portability
"The system must not rely on the user having a specific version of a web browser installed; it should degrade gracefully on older, supported versions.",User with an older browser,Still be able to use the core application,To ensure that the application remains accessible to users in enterprise environments with slower browser upgrade cycles.,NFR,Portability
The application's color scheme must be configurable to allow for white-labeling or theming for different customers.,Enterprise Customer,Theme the application to match their brand,To provide a customized look and feel for different B2B clients.,NFR,Portability
The system must be able to run on a machine with a non-English locale setting without crashing or displaying formatting errors.,International User,Run the app with a non-English locale,To ensure the application is robust and works correctly for a global audience.,NFR,Portability
The application must be able to be installed in a custom directory path chosen by the user or administrator.,System Administrator,Install the application in a custom path,To provide flexibility in server organization and conform to enterprise IT policies.,NFR,Portability
"The system's text must be sourced from locale-specific resource files (e.g., .json, .properties) to allow for easy translation.",Translator,Translate the application's text,To enable localization without requiring developers to change the source code.,NFR,Portability
The application must not rely on the system having specific fonts installed to render correctly.,User,See the UI correctly without specific fonts,To ensure a consistent look and feel by using web fonts or standard system font stacks.,NFR,Portability
"The application's dependencies must be retrievable from a private, internal package repository.",Operations Engineer,Deploy in an air-gapped environment,To support high-security deployments that do not have access to the public internet.,NFR,Portability
The system must be able to be run in a multi-tenant architecture where data is segregated by a tenant ID.,SaaS Provider,Serve multiple customers from one deployment,To efficiently support a software-as-a-service business model.,NFR,Portability
The application must be able to handle file paths longer than 260 characters on Windows.,User on Windows,Use long file paths,To ensure compatibility with deep directory structures on the Windows operating system.,NFR,Portability
The system's keyboard shortcuts must not conflict with standard operating system or browser shortcuts.,User,Use standard keyboard shortcuts,To provide an intuitive experience and avoid frustrating the user.,NFR,Portability
The application must be able to be configured to run on a different port number.,Operations Engineer,Run on a different port,To avoid port conflicts with other applications running on the same server.,NFR,Portability
The system's mobile app should be designed to be portable to tablet form factors with minimal UI changes.,User on a tablet,Have a good experience on a tablet,To support a wider range of mobile devices with a single codebase.,NFR,Portability
The application must not rely on third-party browser extensions being installed to function correctly.,User,Use the application without browser extensions,To ensure a reliable experience for all users,NFR,Portability
The system must be able to be run in an environment with IPv6 networking.,Network Administrator,Run in an IPv6 environment,To ensure future compatibility with the next generation of internet protocol.,NFR,Portability
"The application's performance should be consistent across all supported browsers, with no more than a 15% variation in key metrics.",QA Engineer,Ensure consistent performance across browsers,To provide a good user experience regardless of the user's choice of browser.,NFR,Portability
"The system must be able to be run in a cluster of servers, with load distributed among them.",Operations Engineer,Run in a cluster,To support horizontal scaling and high availability.,NFR,Portability
The application must not rely on any platform-specific APIs for its core functionality.,Developer,Maintain portability of core logic,To ensure that the heart of the application can be easily moved to a new platform if needed.,NFR,Portability
The system must be able to be configured to use a remote database server or a local one.,Developer,Use a remote or local database,To provide flexibility for both production and development environments.,NFR,Portability
"The application must be able to be run in a 'dark launch' mode, where new code is deployed to production but not exposed to users.",Developer,Dark launch new code,To test new code in the production environment with zero user impact.,NFR,Portability
The system's cryptographic libraries must be portable and not rely on hardware-specific features that may not be available in all environments.,Developer,Use portable cryptographic libraries,To ensure that the application's security features work consistently everywhere.,NFR,Portability
"The application must be able to be run in a read-only file system, with the exception of a specific, configurable directory for temporary files.",Operations Engineer,Run in a read-only file system,To enhance security and ensure that the application does not make unexpected changes to the host.,NFR,Portability
"The system must be able to be run in an environment with limited memory, and it should degrade gracefully rather than crashing.",User on a low-spec device,Run the application on a low-memory device,To ensure accessibility for users with less powerful hardware.,NFR,Portability
The application's user interface must support both left-to-right (LTR) and right-to-left (RTL) languages.,User of an RTL language,Use the application in my native language,To provide a good user experience for users of languages like Arabic and Hebrew.,NFR,Portability
The system must be able to be run in an environment with a custom DNS resolver.,Network Administrator,Use a custom DNS resolver,To support deployment in enterprise networks with specific DNS configurations.,NFR,Portability
"The application must not rely on the system clock being accurate, and it should be able to synchronize with a Network Time Protocol (NTP) server.",System Administrator,Ensure accurate timekeeping,To prevent issues with timestamps,NFR,Portability
The system must be able to be run in an environment with a custom SSL/TLS certificate authority (CA).,Enterprise IT Admin,Use a custom CA,To support deployment in enterprise networks with their own public key infrastructure (PKI).,NFR,Portability
"The application's database connection strings must be configurable to support different authentication methods (e.g., password, Kerberos).",Database Administrator,Use different database authentication methods,To integrate with various enterprise security models.,NFR,Portability
The system must be able to be run in an environment where the hostname of the server changes dynamically.,Cloud Operations Engineer,Run on servers with dynamic hostnames,To support modern,NFR,Portability
"The application must not rely on any specific file system features (e.g., symbolic links) that may not be available on all supported platforms.",Developer,Avoid platform-specific file system features,To ensure that the application works correctly on different operating systems.,NFR,Portability
The system must be able to be run in an environment with a custom logging directory.,Operations Engineer,Configure the logging directory,To support centralized logging and conform to enterprise IT policies for log file placement.,NFR,Portability
"The application's user interface must not rely on mouse-specific events (e.g., hover) for critical functionality, to ensure portability to touch-based devices.",User on a touch device,Use all critical features,To provide a good user experience on tablets and other touch-screen devices.,NFR,Portability
The system must be able to be run in an environment with a custom temporary directory.,Operations Engineer,Configure the temporary directory,To manage disk space and conform to enterprise IT policies.,NFR,Portability
The application must not rely on any specific version of the Java Virtual Machine (JVM) or .,ET runtime,within a major version range.,Developer,NFR,Portability
"The system must be able to be run in an environment with a custom character encoding for its inputs and outputs, although UTF-8 is the default.",System Administrator,Configure character encoding,To support integration with legacy systems that may use different encodings.,NFR,Portability
"The application's front-end assets (e.g., CSS, JS) must be able to be served from a different domain than the back-end API.",Web Developer,Serve assets from a CDN,To improve performance and scalability by using a Content Delivery Network.,NFR,Portability
The system must be able to be run in an environment with a custom locale setting for the operating system.,International User,Run the app with a custom OS locale,To ensure that the application behaves correctly regardless of the system's language and regional settings.,NFR,Portability
"The application must not rely on any specific environment variables being set, unless they are documented as part of the configuration.",Developer,Have clearly documented environment variable dependencies,To make the application easy to configure and deploy reliably.,NFR,Portability
"The system must be able to be run in an environment where network latency is high, and it should remain functional, even if it is slower.",User with a poor connection,Still be able to use the application,To ensure accessibility for users on slow or unreliable networks,NFR,Usability
"The system must be able to be translated into new languages without requiring any code changes, only the addition of new resource files.",Localization Team,Translate the application easily,To make the process of adding support for new languages efficient and low-risk.,NFR,Usability
The system's client-side code must not use any deprecated browser APIs.,Developer,Ensure future browser compatibility,To prevent the application from breaking as browsers remove old,NFR,Usability
The application must be able to be deployed behind a reverse proxy without requiring any code changes.,Operations Engineer,Deploy behind a reverse proxy,To support standard enterprise deployment patterns for security and load balancing.,NFR,Usability
"The system must be able to be run with different time zones configured on the server, and all times must be handled correctly (e.g., by storing them in UTC).",System Administrator,Run the server in any time zone,To provide flexibility in server hosting and ensure correct handling of temporal data.,NFR,Usability
The application's CSS must not use any vendor-specific prefixes that are not handled by an autoprefixer during the build process.,Developer,Write standard,portable CSS,NFR,Usability
"The system must be able to be run in an environment where the case-sensitivity of the file system is different (e.g., Windows vs. Linux).",Developer,Run on different file systems,To prevent bugs related to file path case-sensitivity when moving between operating systems.,NFR,Usability
The application must not rely on any specific screen DPI (dots per inch) for its UI to render correctly.,User,Have a clear UI on any display,To ensure that the user interface scales correctly on both standard and high-DPI (Retina) displays.,NFR,Usability
The system's data migration scripts must be written in standard SQL that is compatible with all supported database systems.,Database Administrator,Run data migrations on any supported DB,To ensure that the database can be migrated between different vendors if needed.,NFR,Usability
"The application must be able to handle line endings from different operating systems (CRLF from Windows, LF from Linux/macOS).",Developer,Handle different line endings,To prevent issues when files are edited on different operating systems.,NFR,Usability
The system's user documentation must be provided in a portable format like HTML or PDF.,User,Access documentation on any device,To ensure that help files and manuals are accessible to all users.,NFR,Usability
The application must not have any hardcoded paths to system binaries or utilities.,Developer,Avoid hardcoded system paths,To ensure the application can run in environments where tools may be installed in non-standard locations.,NFR,Usability
The system must be able to be developed and run on Apple Silicon (ARM64) laptops as well as traditional Intel (x86-64) machines.,Developer,Develop on modern hardware,To support developers using the latest generation of computers.,NFR,Usability
"The application must be able to be configured to send analytics data to different analytics providers (e.g., Google Analytics, Plausible).",Marketing Team,Switch analytics providers,To provide flexibility in how user behavior data is collected and analyzed.,NFR,Usability
"The system must not rely on the user having a specific version of a web browser installed; it should degrade gracefully on older, supported versions.",User with an older browser,Still be able to use the core application,To ensure that the application remains accessible to users in enterprise environments with slower browser upgrade cycles.,NFR,Usability
The application's color scheme must be configurable to allow for white-labeling or theming for different customers.,Enterprise Customer,Theme the application to match their brand,To provide a customized look and feel for different B2B clients.,NFR,Usability
The system must be able to be run on a machine with a non-English locale setting without crashing or displaying formatting errors.,International User,Run the app with a non-English locale,To ensure the application is robust and works correctly for a global audience.,NFR,Usability
The application must be able to be installed in a custom directory path chosen by the user or administrator.,System Administrator,Install the application in a custom path,To provide flexibility in server organization and conform to enterprise IT policies.,NFR,Usability
"The application's text must be sourced from locale-specific resource files (e.g., .json, .properties) to allow for easy translation.",Translator,Translate the application's text,To enable localization without requiring developers to change the source code.,NFR,Usability
The application must not rely on the system having specific fonts installed to render correctly.,User,See the UI correctly without specific fonts,To ensure a consistent look and feel by using web fonts or standard system font stacks.,NFR,Usability
"The application's dependencies must be retrievable from a private, internal package repository.",Operations Engineer,Deploy in an air-gapped environment,To support high-security deployments that do not have access to the public internet.,NFR,Usability
The system must be able to be run in a multi-tenant architecture where data is segregated by a tenant ID.,SaaS Provider,Serve multiple customers from one deployment,To efficiently support a software-as-a-service business model.,NFR,Usability
The application must be able to handle file paths longer than 260 characters on Windows.,User on Windows,Use long file paths,To ensure compatibility with deep directory structures on the Windows operating system.,NFR,Usability
The system's keyboard shortcuts must not conflict with standard operating system or browser shortcuts.,User,Use standard keyboard shortcuts,To provide an intuitive experience and avoid frustrating the user.,NFR,Usability
The application must be able to be configured to run on a different port number.,Operations Engineer,Run on a different port,To avoid port conflicts with other applications running on the same server.,NFR,Usability
The system's mobile app should be designed to be portable to tablet form factors with minimal UI changes.,User on a tablet,Have a good experience on a tablet,To support a wider range of mobile devices with a single codebase.,NFR,Usability
The application must not rely on third-party browser extensions being installed to function correctly.,User,Use the application without browser extensions,To ensure a reliable experience for all users,NFR,Usability
The system must be able to be run in an environment with IPv6 networking.,Network Administrator,Run in an IPv6 environment,To ensure future compatibility with the next generation of internet protocol.,NFR,Usability
"The application's performance should be consistent across all supported browsers, with no more than a 15% variation in key metrics.",QA Engineer,Ensure consistent performance across browsers,To provide a good user experience regardless of the user's choice of browser.,NFR,Usability
"The system must be able to be run in a cluster of servers, with load distributed among them.",Operations Engineer,Run in a cluster,To support horizontal scaling and high availability.,NFR,Usability
The application must not rely on any platform-specific APIs for its core functionality.,Developer,Maintain portability of core logic,To ensure that the heart of the application can be easily moved to a new platform if needed.,NFR,Usability
The system must be able to be configured to use a remote database server or a local one.,Developer,Use a remote or local database,To provide flexibility for both production and development environments.,NFR,Usability
"The application must be able to be run in a 'dark launch' mode, where new code is deployed to production but not exposed to users.",Developer,Dark launch new code,To test new code in the production environment with zero user impact.,NFR,Usability
The system's cryptographic libraries must be portable and not rely on hardware-specific features that may not be available in all environments.,Developer,Use portable cryptographic libraries,To ensure that the application's security features work consistently everywhere.,NFR,Usability
"The application must be able to be run in a read-only file system, with the exception of a specific, configurable directory for temporary files.",Operations Engineer,Run in a read-only file system,To enhance security and ensure that the application does not make unexpected changes to the host.,NFR,Usability
"The system must be able to be run in an environment with limited memory, and it should degrade gracefully rather than crashing.",User on a low-spec device,Run the application on a low-memory device,To ensure accessibility for users with less powerful hardware.,NFR,Usability
The application's user interface must support both left-to-right (LTR) and right-to-left (RTL) languages.,User of an RTL language,Use the application in my native language,To provide a good user experience for users of languages like Arabic and Hebrew.,NFR,Usability
The system must be able to be run in an environment with a custom DNS resolver.,Network Administrator,Use a custom DNS resolver,To support deployment in enterprise networks with specific DNS configurations.,NFR,Usability
"The application must not rely on the system clock being accurate, and it should be able to synchronize with a Network Time Protocol (NTP) server.",System Administrator,Ensure accurate timekeeping,To prevent issues with timestamps,NFR,Usability
The application must be able to be run in an environment with a custom SSL/TLS certificate authority (CA).,Enterprise IT Admin,Use a custom CA,To support deployment in enterprise networks with their own public key infrastructure (PKI).,NFR,Usability
"The application's database connection strings must be configurable to support different authentication methods (e.g., password, Kerberos).",Database Administrator,Use different database authentication methods,To integrate with various enterprise security models.,NFR,Usability
"The system's commit messages must follow a consistent format (e.g., Conventional Commits) to be easily readable and parsable.",Developer,Understand the history of changes,To provide a clear and scannable history of what has changed in the codebase and why.,NFR,Reliability
"The system's major components must have clearly defined public APIs, and components should not interact with each other's internal implementation details.",Architect,Maintain clear component boundaries,To enforce encapsulation and allow components to be changed without affecting their consumers.,NFR,Reliability
The system must have a process for developers to propose and discuss architectural changes.,Developer,Evolve the architecture collaboratively,To ensure that the system's design remains coherent and well-understood by the team.,NFR,Reliability
The system's documentation must be kept in the same repository as the code and be updated as part of the same process for changing the code.,Developer,Keep documentation up-to-date,To prevent the documentation from becoming stale and inaccurate.,NFR,Reliability
The system must have a process for performing root cause analysis (RCA) for all major bugs and production incidents.,Tech Lead,Learn from mistakes,To identify the underlying causes of problems and prevent them from happening again.,NFR,Reliability
The system must not use any experimental or beta-version libraries in its production code.,Developer,Use stable and reliable libraries,To avoid issues caused by bugs or breaking changes in non-production-ready dependencies.,NFR,Reliability
The system's code should be organized in a way that a new developer can understand the overall structure and locate the code for a specific feature within their first day.,New Developer,Understand the codebase structure quickly,To reduce the learning curve and make it easier to start contributing.,NFR,Reliability
The system must have a process for developers to easily run a single test or a specific group of tests related to the code they are working on.,Developer,Run relevant tests quickly,To speed up the test-driven development cycle.,NFR,Reliability
"The system must have a clear separation between its application logic and its data access logic (e.g., using a repository pattern).",Architect,Separate application and data logic,To improve testability,NFR,Reliability
The system must have a process for regularly reviewing its logging and monitoring dashboards to ensure they are still relevant and effective.,Operations Engineer,Maintain relevant monitoring dashboards,To avoid alert fatigue and ensure that the monitoring system provides actionable insights.,NFR,Reliability
The system must not have any code that is commented out; it should be removed and can be found in version control history if needed.,Developer,Maintain a clean codebase,To improve readability and avoid confusion about why the code is there.,NFR,Reliability
The system's API responses must follow a consistent and predictable structure across all endpoints.,Developer,Consume the API predictably,To make it easier for client-side developers to write code that interacts with the API.,NFR,Reliability
The system must have a process for ensuring that all new code is peer-reviewed by at least one other developer.,Tech Lead,Ensure code quality and knowledge sharing,To improve the quality of the code and spread knowledge about the codebase among the team.,NFR,Reliability
The system must have a process for developers to request and receive feedback on their code and designs.,Developer,Get feedback on my work,To foster a culture of continuous improvement and collaborative design.,NFR,Reliability
The system must have a clear and documented process for handling breaking changes in its API.,Developer,Handle API breaking changes gracefully,To minimize the impact on API consumers and provide a clear upgrade path.,NFR,Reliability
The system's configuration should be schema-validated on startup to catch errors early.,Operations Engineer,Validate configuration on startup,To prevent the application from starting with an invalid or incomplete configuration.,NFR,Reliability
The system must have a process for tracking and prioritizing technical debt items.,Tech Lead,Manage technical debt effectively,To ensure that technical debt is addressed proactively and does not grow out of control.,NFR,Reliability
The system must be designed in a way that allows for A/B testing of new features.,Product Manager,A/B test new features,To make data-driven decisions about which features to release to all users.,NFR,Reliability
The system's automated tests must be independent and able to run in any order.,Developer,Run tests in any order,To ensure that the test suite is reliable and not dependent on the state left by a previous test.,NFR,Reliability
The system must have a process for developers to access sanitized production data in a development environment for realistic testing.,Developer,Test with realistic data,To catch bugs that may only appear with production-like data volumes and variety.,NFR,Reliability
The system's code must not have any linter warnings or errors.,Developer,Maintain a high standard of code quality,To enforce coding standards and catch potential bugs automatically.,NFR,Reliability
The system must have a process for developers to easily create a new service or module using a pre-defined template.,Developer,Create new services quickly and consistently,To speed up development and ensure that new components follow the established architecture.,NFR,Reliability
The system must have a process for documenting and communicating its release schedule to all stakeholders.,Product Manager,Communicate the release schedule,To keep everyone informed about when new features will be available.,NFR,Reliability
"The system's core data models must be clearly documented, including the meaning of each field and its relationships to other models.",Developer,Understand the data model,To ensure that data is used correctly and consistently throughout the application.,NFR,Reliability
"The system must have a process for developers to experiment with new technologies and ideas in a safe and controlled environment (e.g., during hackathons or innovation days).",Developer,Experiment with new technologies,To foster innovation and allow the team to stay up-to-date with industry trends.,NFR,Reliability
The system must have a process for ensuring that all new dependencies are approved by a tech lead before being added to the project.,Tech Lead,Control the addition of new dependencies,To prevent the introduction of unvetted or problematic libraries into the codebase.,NFR,Reliability
The system's automated tests must not rely on external services being available.,Developer,Run tests without external dependencies,To ensure that the test suite is reliable and can be run anywhere,NFR,Reliability
The system must have a process for developers to easily share their local development environment with other developers for pair programming or debugging.,Developer,Share my development environment,To facilitate collaboration and make it easier to troubleshoot issues together.,NFR,Reliability
The system must have a process for developers to get a rapid and automated security scan of their code before merging.,Developer,Get automated security feedback,To catch common security vulnerabilities early in the development cycle.,NFR,Reliability
"The system's code must have a clear and consistent naming convention for branches, variables, functions, and classes.",Developer,Read and navigate the code easily,To improve the readability and maintainability of the codebase.,NFR,Reliability
The system must have a process for developers to easily access and search application logs from all environments.,Developer,Access and search logs easily,To facilitate debugging and troubleshooting of issues in different environments.,NFR,Reliability
The system must have a process for ensuring that all new features have corresponding documentation before they are released.,Technical Writer,Ensure features are documented,To provide users with the information they need to use new functionality.,NFR,Reliability
"The system's code must be organized in a way that minimizes the ""blast radius"" of changes, so a change in one module is unlikely to have unintended consequences in another.",Architect,Minimize the impact of changes,To make the system safer and easier to modify over time.,NFR,Reliability
The system must have a process for developers to easily create and run performance tests for their code.,Developer,Run performance tests easily,To identify and fix performance regressions before they reach production.,NFR,Reliability
"The system must have a process for developers to get feedback from users on new features before they are fully developed (e.g., through prototypes or user testing).",UX Designer,Get user feedback early,To ensure that the features being built meet user needs and are easy to use.,NFR,Reliability
The system must have a process for regularly reviewing and updating the project's README file to ensure it is accurate and helpful for new developers.,Tech Lead,Maintain a helpful README,To provide a clear and concise entry point for anyone new to the project.,NFR,Reliability
The system must have a process for developers to easily create a new database and populate it with seed data for testing.,Developer,Create and seed a test database easily,To speed up the setup process for testing new features.,NFR,Reliability
The system must have a process for developers to easily debug a running process in a production-like environment.,Developer,Debug in a production-like environment,To reproduce and fix bugs that only appear under specific production conditions.,NFR,Reliability
The system must have a process for ensuring that all public-facing API changes are communicated to consumers in advance.,API Product Manager,Communicate API changes,To give consumers time to adapt to changes and prevent breaking their integrations.,NFR,Reliability
The system's code must not rely on any specific developer's personal machine configuration.,Developer,Have a consistent development environment,To ensure that the code works the same for everyone on the team.,NFR,Reliability
The system's password history policy must prevent users from reusing their last 5 passwords.,System,Enforce a password history policy,To prevent users from cycling through a small set of familiar passwords.,NFR,Security
"The system must use a unique, randomly generated salt for each user's password hash.",System,Salt all password hashes,To protect against rainbow table attacks.,NFR,Security
The system must perform integrity checks on critical application files to detect unauthorized modifications.,System,Perform file integrity checks,To identify potential malware or tampering with the application's source code.,NFR,Security
The system must use certificate pinning for its mobile applications.,Mobile App,Use certificate pinning,To protect against man-in-the-middle attacks that use fraudulent SSL certificates.,NFR,Security
"The system must enforce a security policy that requires all employees to use strong, unique passwords and 2FA for all internal systems.",System,Enforce internal security policies,To protect the development and operational environment from compromise.,NFR,Security
The system shall provide an audit log that is immutable and protected from tampering.,System,Provide an immutable audit log,To ensure that security records are reliable and cannot be altered by an attacker.,NFR,Security
The system must have controls to prevent XML External Entity (XXE) injection attacks when parsing XML data.,System,Prevent XXE attacks,To protect against attacks that can lead to information disclosure or server-side request forgery.,NFR,Security
"The system must have a security policy for the use of third-party APIs, including rate limiting and monitoring.",System,Have a third-party API security policy,To protect the application from security risks introduced by external services.,NFR,Security
The system shall not display user-provided content without proper sanitization to prevent stored XSS attacks.,System,Sanitize all user-provided content,To ensure that malicious scripts entered by one user are not executed by another user's browser.,NFR,Security
"The system must be designed to fail securely, meaning that if a security control fails, it defaults to a secure state (e.g., denying access).",System,Fail securely,To prevent failures from creating security vulnerabilities.,NFR,Security
The system must have a mechanism to revoke access for a user or an API key immediately.,System,Support immediate access revocation,To quickly respond to a compromise of credentials.,NFR,Security
"The system shall not use hardcoded credentials, API keys, or other secrets in its source code.",System,Avoid hardcoded secrets,To prevent sensitive information from being exposed in the source code repository.,NFR,Security
"The system must have a process for securely deleting user data upon request, in compliance with privacy regulations.",System,Securely delete user data,To ensure that data is permanently removed and cannot be recovered.,NFR,Security
The system shall use DNSSEC to protect against DNS spoofing attacks.,System,Use DNSSEC,To ensure that users are connecting to the authentic server and not a malicious one.,NFR,Security
The system must be designed to be resilient against denial-of-service (DoS) attacks.,System,Be resilient to DoS attacks,To maintain availability for legitimate users during an attack.,NFR,Security
The system's security architecture must be reviewed and approved by a security team before implementation.,System,Review security architecture,To ensure that security is designed into the system from the beginning.,NFR,Security
The system must have a security awareness training program for all developers and operations staff.,System,Provide security awareness training,To reduce the risk of human error leading to security vulnerabilities.,NFR,Security
The system shall use a web application firewall (WAF) to protect against common web-based attacks.,System,Use a web application firewall,To provide an additional layer of defense for the application.,NFR,Security
The system must have a policy for the secure disposal of obsolete hardware and media.,System,Have a secure disposal policy,To prevent sensitive data from being recovered from discarded equipment.,NFR,Security
"The system shall use a secrets management solution (e.g., HashiCorp Vault, AWS Secrets Manager) to manage and rotate secrets.",System,Use a secrets management solution,To centralize and secure the handling of sensitive credentials.,NFR,Security
The system must be designed to minimize its attack surface by exposing only necessary services and ports.,System,Minimize the attack surface,To reduce the number of potential entry points for an attacker.,NFR,Security
The system shall use a sandbox environment for running potentially untrusted code or processing untrusted data.,System,Use a sandbox for untrusted code,To isolate potentially malicious operations and protect the host system.,NFR,Security
"The system must have a security policy for remote access, requiring VPN and multi-factor authentication.",System,Have a secure remote access policy,To protect the internal network from unauthorized access.,NFR,Security
The system's mobile application must use code obfuscation to make it more difficult to reverse engineer.,Mobile App,Use code obfuscation,To protect intellectual property and deter attackers from discovering vulnerabilities.,NFR,Security
The system must have a security policy for the use of personal devices (BYOD) for work purposes.,System,Have a BYOD security policy,To manage the security risks associated with employees using their own devices.,NFR,Security
The system shall use a content delivery network (CDN) that provides DDoS mitigation services.,System,Use a CDN with DDoS mitigation,To improve performance and protect against large-scale denial-of-service attacks.,NFR,Security
"The system must have a security policy for the use of open-source software, including a process for approving and monitoring its use.",System,Have an open-source software security policy,To manage the security risks associated with using open-source components.,NFR,Security
The system shall use a network intrusion detection system (NIDS) to monitor for malicious network activity.,System,Use a network intrusion detection system,To detect and alert on potential security threats at the network level.,NFR,Security
The system must have a security policy for physical access to its data centers and servers.,System,Have a physical security policy,To protect the hardware and infrastructure from unauthorized physical access.,NFR,Security
"The application must be optimized for mobile devices, with page load times under 3 seconds on a standard 4G connection.",System,Optimize for mobile performance,To provide a good experience for the growing number of users on smartphones and tablets.,NFR,Performance
The system should be able to handle sudden spikes in traffic of up to 3 times the normal load for at least 10 minutes without failing.,System,Handle sudden traffic spikes,To remain stable during marketing campaigns,NFR,Performance
"The system's resource consumption (CPU, memory) should scale linearly with the number of active users, not exponentially.",System,Scale resources linearly,To ensure predictable performance and cost as the user base grows.,NFR,Performance
"The system must use a Content Delivery Network (CDN) to serve all static assets like images, CSS, and JavaScript files.",System,Use a CDN for static assets,To reduce latency for users around the world and decrease load on the origin server.,NFR,Performance
The system's database must be indexed appropriately to ensure that 99% of read queries are efficient.,System,Index the database properly,To prevent slow queries and maintain application responsiveness.,NFR,Performance
